Auteur,identifiant cfr,prénom,nom,libellé,année de naissance,année de décès,uri
Carbon de Flins Des Oliviers (Claude-Marie-Louis-Emmanuel),5188,Claude-Marie-Louis-Emmanuel,Carbon de Flins Des Oliviers,Carbon de Flins Des Oliviers (Claude-Marie-Louis-Emmanuel),,,http://data.bnf.fr/ark:/12148/cb11895125c
Boissy (Louis de),5192,Louis de,Boissy,Boissy (Louis de),,,http://data.bnf.fr/ark:/12148/cb120616922
Desfontaines (François-Georges),5201,François-Georges,Desfontaines,Desfontaines (François-Georges),,,http://data.bnf.fr/ark:/12148/cb118998227
La Place (Pierre-Antoine de),5209,Pierre-Antoine de,La Place,La Place (Pierre-Antoine de),,,http://data.bnf.fr/ark:/12148/cb11997175k
Collin d'Harleville (Jean-François),5210,Jean-François,Collin d'Harleville,Collin d'Harleville (Jean-François),,,http://data.bnf.fr/ark:/12148/cb11897338r
Grouvelle (Philippe-Antoine),5231,Philippe-Antoine,Grouvelle,Grouvelle (Philippe-Antoine),,,http://data.bnf.fr/ark:/12148/cb11988826b
Patu (Claude-Pierre) ; Portelance (Michel),5235,Claude-Pierre,Patu,Patu (Claude-Pierre) ; Portelance (Michel),,,http://data.bnf.fr/ark:/12148/cb120445865
Beaugeard (Jean-Simon Férréol),5236,Jean-Simon Férréol,Beaugeard,Beaugeard (Jean-Simon Férréol),,,http://data.bnf.fr/ark:/12148/cb10658252z
Du Bocage (Anne-Marie),5239,Anne-Marie,Du Bocage,Du Bocage (Anne-Marie),,,http://data.bnf.fr/ark:/12148/cb11900682p
Pieyre (Alexandre),5241,Alexandre,Pieyre,Pieyre (Alexandre),,,http://data.bnf.fr/ark:/12148/cb10448625m
La Harpe (Jean François de),5244,Jean François de,La Harpe,La Harpe (Jean François de),,,http://data.bnf.fr/ark:/12148/cb119102865
Simon (Claude-François),5250,Claude-François,Simon,Simon (Claude-François),,,http://data.bnf.fr/ark:/12148/cb12215797b
Lantier (Étienne François de),5251,Étienne François de,Lantier,Lantier (Étienne François de),,,http://data.bnf.fr/ark:/12148/cb11911006c
Dancourt (Louis Hurtaut),5256,Louis Hurtaut,Dancourt,Dancourt (Louis Hurtaut),,,http://data.bnf.fr/ark:/12148/cb14545956q
Beaumarchais (Pierre-Augustin Caron de),5257,Pierre-Augustin Caron de,Beaumarchais,Beaumarchais (Pierre-Augustin Caron de),,,http://data.bnf.fr/ark:/12148/cb118908133
Dubois de Rochefort (Guillaume),5258,Guillaume,Dubois de Rochefort,Dubois de Rochefort (Guillaume),,,http://data.bnf.fr/ark:/12148/cb12460070j
Devaux (François-Antoine),5264,François-Antoine,Devaux,Devaux (François-Antoine),,,http://data.bnf.fr/ark:/12148/cb12202767g
Forgeot (Nicolas-Julien),5265,Nicolas-Julien,Forgeot,Forgeot (Nicolas-Julien),,,http://data.bnf.fr/ark:/12148/cb12463023r
Bellecour,5270,,,Bellecour,,,http://data.bnf.fr/ark:/12148/cb12086087f
Marivaux (Pierre de),5271,Pierre de,Marivaux,Marivaux (Pierre de),,,http://data.bnf.fr/ark:/12148/cb119146220
Robert,5273,,,Robert,,,http://data.bnf.fr/ark:/12148/cb16910059d
Desforges (Pierre-Jean-Baptiste Choudard),5283,Pierre-Jean-Baptiste Choudard,Desforges,Desforges (Pierre-Jean-Baptiste Choudard),,,http://data.bnf.fr/ark:/12148/cb11997731m
Dorvigny,5289,,,Dorvigny,,,http://data.bnf.fr/ark:/12148/cb12127824x
Brunet (Pierre-Nicolas),5290,Pierre-Nicolas,Brunet,Brunet (Pierre-Nicolas),,,http://data.bnf.fr/ark:/12148/cb161506287
Palissot de Montenoy (Charles),5293,Charles,Palissot de Montenoy,Palissot de Montenoy (Charles),,,http://data.bnf.fr/ark:/12148/cb119184692
Valois d'Orville (Adrien-Joseph de) ; Dubois,5302,Adrien-Joseph de,Valois d'Orville,Valois d'Orville (Adrien-Joseph de) ; Dubois,,,http://data.bnf.fr/ark:/12148/cb149549869
Boindin (Nicolas) ; La Motte (Antoine Houdar de),5305,Nicolas,Boindin,Boindin (Nicolas) ; La Motte (Antoine Houdar de),,,http://data.bnf.fr/ark:/12148/cb119994527
Vadé (Jean-Joseph),5313,Jean-Joseph,Vadé,Vadé (Jean-Joseph),,,http://data.bnf.fr/ark:/12148/cb120749381
Gouges (Olympe de),5314,Olympe de,Gouges,Gouges (Olympe de),,,http://data.bnf.fr/ark:/12148/cb119055055
Desmahis (Joseph-François-Edouard de Corsembleu),5331,Joseph-François-Edouard de Corsembleu,Desmahis,Desmahis (Joseph-François-Edouard de Corsembleu),,,http://data.bnf.fr/ark:/12148/cb12779741s
Brueys (David-Augustin de) ; Palaprat (Jean de),5332,David-Augustin de,Brueys,Brueys (David-Augustin de) ; Palaprat (Jean de),,,http://data.bnf.fr/ark:/12148/cb12178282q
Laujon (Pierre),5337,Pierre,Laujon,Laujon (Pierre),,,http://data.bnf.fr/ark:/12148/cb119885375
La Salle (Adrien-Nicolas),5345,Adrien-Nicolas,La Salle,La Salle (Adrien-Nicolas),,,http://data.bnf.fr/ark:/12148/cb12004607g
